aleo_grupa,aleo_podgrupa,pkd_primary,pkd_secondary
Surowce i półprodukty,Przędza,25.63.Z,07.10.Z|24.44.Z|24.54.A|17.24.Z|16.25.Z
Surowce i półprodukty,Szkło,23.12.Z,23.11.Z|23.13.Z|23.15.Z|24.54.A|25.40.Z
Surowce i półprodukty,Tektura i produkty celulozowe,25.12.Z,25.22.Z|23.13.Z|23.63.Z|16.22.Z|20.16.Z
Surowce i półprodukty,Tkaniny i skóry,17.12.Z,25.94.Z|23.52.Z|24.31.Z|08.12.Z|20.12.Z
Surowce i półprodukty,Tworzywa sztuczne,22.22.Z,22.25.Z|22.26.Z|22.23.Z|22.24.Z|20.16.Z
Surowce i półprodukty,Inne,24.44.Z,24.54.A|24.42.A|17.11.Z|17.24.Z|23.91.Z
"Ubrania, obuwie, galanteria, biżuteria",Biżuteria i zegarki,47.77.Z,46.48.Z|46.83.Z|47.52.Z|32.13.Z|14.24.Z
"Ubrania, obuwie, galanteria, biżuteria",Obuwie,47.77.Z,46.48.Z|32.13.Z|15.11.Z|47.52.Z|46.83.Z
"Ubrania, obuwie, galanteria, biżuteria",Skóry,47.77.Z,46.48.Z|47.72.Z|46.83.Z|32.13.Z|47.52.Z
"Ubrania, obuwie, galanteria, biżuteria",Torby i walizki,47.77.Z,47.52.Z|46.48.Z|46.83.Z|32.13.Z|15.11.Z
"Ubrania, obuwie, galanteria, biżuteria",Ubrania,47.77.Z,46.48.Z|46.83.Z|47.52.Z|32.13.Z|14.24.Z
"Ubrania, obuwie, galanteria, biżuteria",Wyroby tekstylne,47.51.Z,13.30.Z|46.41.Z|32.13.Z|47.77.Z|46.48.Z
"Ubrania, obuwie, galanteria, biżuteria",Inne,47.77.Z,46.48.Z|46.83.Z|32.13.Z|47.52.Z|14.24.Z
Usługi dla firm,Agencje celne,82.91.Z,73.11.Z|86.99.A|77.31.Z|81.30.Z|85.33.A
Usługi dla firm,Archiwizacja i niszczenie dokumentów,,38.32.Z
Usługi dla firm,Badania i analizy techniczne,71.20.C,71.20.A|72.10.Z|71.12.B|72.20.Z|85.52.Z
Usługi dla firm,Doradztwo techniczne,71.12.B,71.20.C|69.20.B|70.20.Z|77.35.Z|69.10.Z
Usługi dla firm,Drukowanie i poligrafia,18.12.Z,18.13.Z|18.14.Z
Usługi dla firm,Inne usługi dla firm,96.99.Z,77.33.Z|71.12.B|70.10.B|81.23.B|80.09.Z
Usługi dla firm,Introligatorstwo,18.14.Z,18.13.Z
Usługi dla firm,Konwojowanie i inkaso,90.11.Z,77.12.Z|90.20.A|95.24.Z|96.99.Z|95.10.Z
Usługi dla firm,Organizacja podróży służbowych,82.30.Z,94.92.Z|94.12.Z|94.91.Z|79.12.Z|94.11.Z
Usługi dla firm,Restauracje i catering,,56.21.Z
Usługi dla firm,Tłumaczenia,74.30.Z,
Usługi dla firm,Usługi finansowe i doradcze,,64.19.Z|66.19.Z
Usługi dla firm,"Usługi fotograficzne, audio i wideo",74.20.Z,74.12.Z|77.21.Z|96.91.Z|85.53.Z|77.35.Z
Usługi dla firm,Usługi hotelarskie,55.10.Z,55.20.Z|55.30.Z|55.90.Z
Usługi dla firm,Usługi HR i kadrowo-płacowe,,78.10.Z|78.20.Z
Usługi dla firm,Usługi pralnicze i czyszczenia,95.31.C,96.91.Z|96.10.Z|74.30.Z|69.10.Z|79.90.Z
Usługi dla firm,Usługi profesjonalne - naukowe i techniczne,71.20.C,71.12.B|72.10.Z|72.20.Z|74.99.Z|79.90.Z
Usługi dla firm,Usługi weterynaryjne,75.00.Z,86.99.A|70.10.B|81.30.Z|96.99.Z|86.99.B
Administracja publiczna,Kierowanie podstawowymi działalnościami publicznymi,84.11.Z,84.12.Z|84.13.Z|84.24.Z|84.23.Z|84.25.Z
Administracja publiczna,"Kierowanie w zakresie ochrony zdrowia, edukacji i kultury",84.12.Z,84.13.Z|84.11.Z|84.25.Z|84.24.Z|84.21.Z
Administracja publiczna,Efektywność gospodarowania,84.13.Z,84.25.Z|84.11.Z|84.23.Z|84.22.Z|84.24.Z
Administracja publiczna,Sprawy zagraniczne,84.21.Z,84.11.Z|84.23.Z|84.30.Z|84.24.Z|84.25.Z
Administracja publiczna,Obrona narodowa,84.22.Z,84.25.Z|84.11.Z|84.13.Z|84.24.Z|84.21.Z
Administracja publiczna,Bezpieczeństwo publiczne,84.24.Z,84.30.Z|84.11.Z|84.21.Z|84.23.Z|84.25.Z
Administracja publiczna,Ochrona przeciwpożarowa,84.25.Z,
Administracja publiczna,Obowiązkowe zabezpieczenia społeczne,84.30.Z,84.12.Z|84.24.Z|84.11.Z|84.13.Z|84.25.Z
Inne,Inne,64.91.Z,43.34.Z|58.11.Z|02.20.Z|35.12.B|55.30.Z
